variant,spectral_radius,seed,curvature_rad,vpt
connectome_weight_permuted,4.0,0,3.004244969763934,0.4183872
connectome_weight_permuted,4.0,1,0.25814949788668223,0.6574655999999999
connectome_weight_permuted,4.0,2,0.2582488416513163,4.0127136
connectome_weight_permuted,4.0,3,0.25896340973280163,2.5347744
connectome_weight_permuted,4.0,4,0.26045555802720044,2.798304
connectome_weight_permuted,4.0,5,0.2619294525116727,5.2108224
connectome_weight_permuted,4.0,6,0.2590076028240152,2.098728
connectome_weight_permuted,4.0,7,0.25992839954561286,1.6314384
connectome_weight_permuted,4.0,8,0.2580411009617271,0.8055311999999999
connectome_weight_permuted,4.0,9,0.26182930305262986,1.9071936
connectome_weight_permuted,4.4,0,3.018812323349691,0.7063679999999999
connectome_weight_permuted,4.4,1,0.25788804574811536,0.6506735999999999
connectome_weight_permuted,4.4,2,0.2583798466295571,3.9583776
connectome_weight_permuted,4.4,3,0.2586076465384694,2.4261023999999995
